Collection ID,Game ID,Name,Expansion,Version ID,Version,Status,Min Players,Max Players,Recommended Players,Best Players,Min Duration,Max Duration,Weight,Plays,Last Play,Rating,BGG Rating,Rank,Estimated Value,altnames,Publisher,Artist,Domain,Family,SuggestedAge,BggImage,Mechanisms,Categories,Designer,YearPublished
104000000,356123,Turing Machine,-,-,-,"Prevowned,Wanttoplay",1,4,"1, 2, 3, 4",1,20,20,2.5408,0,-,6.2,7.17974,321,27.56,圖靈解密,Scorpion Masqué,Sébastien Bizos,Strategy Games,Digital Implementations: Board Game Arena Misc: Watch It Played How To Videos Players: Games with Solitaire Rules Theme: Computer / Information Technology Industry Theme: Teaching Programming,11.85,356123.png,Deduction Paper-and-Pencil Solo / Solitaire Game,Deduction Math Spies / Secret Agents,Fabien Gridel,2022
-,269210,Twice as Clever!,-,-,-,-,1,4,"1, 2, 3, 4",2,30,30,2.2718,0,-,-,7.03157,464,14.23,雙倍聰明,Schmidt Spiele,Leon Schiffer,Family Games,Components: Coloured Dice Digital Implementations: Apple App Store Digital Implementations: BrettspielWelt Digital Implementations: Google Play Game: Ganz Schön Clever Mechanism: Dice Drafting Mechanism: Roll-and-Write Players: Games with Solitaire Rules Series: Klein & Fein (Schmidt Spiele),10.62,269210.jpg,Dice Rolling Paper-and-Pencil Re-rolling and Locking Solo / Solitaire Game,Dice Number,Wolfgang Warsch,2019
-,233078,Twilight Imperium: Fourth Edition,-,-,-,-,3,6,"3, 4, 5, 6",6,240,480,4.352,0,-,-,8.21945,7,105.69,第4,Fantasy Flight Games,Scott Schomburg,Strategy Games Thematic Games,Components: Hexagonal Tiles Components: Map (Interplanetary or Interstellar scale) Components: Miniatures Game: Twilight Imperium Mechanism: 4X Misc: Made by Panda,14.36,233078.jpg,Action Drafting Area-Impulse Dice Rolling Follow Grid Movement Hexagon Grid Increase Value of Unchosen Resources King of the Hill Modular Board Movement Points Race Tech Trees / Tech Tracks Trading Variable Phase Order Variable Player Powers Variable Set-up Voting,Civilization Economic Exploration Negotiation Political Science Fiction Space Exploration Territory Building Wargame,Dane Beltrami,2017
-,12493,Twilight Imperium: Third Edition,-,-,-,-,3,6,"4, 5, 6",6,180,240,4.2594,0,-,-,7.46013,150,56.98,,Fantasy Flight Games,Scott Schomburg,Strategy Games Thematic Games,Components: Hexagonal Tiles Components: Map (Interplanetary or Interstellar scale) Components: Miniatures Game: Twilight Imperium Mechanism: 4X Misc: Dice Tower Hall of Fame Misc: Made by Panda Series: Fantasy Flight Big Box,14.57,012493.jpg,Action Points Area-Impulse Dice Rolling Follow Grid Movement Hexagon Grid Increase Value of Unchosen Resources Modular Board Player Elimination Tech Trees / Tech Tracks Tile Placement Trading Variable Phase Order Variable Player Powers Voting,Civilization Negotiation Political Science Fiction Space Exploration Wargame,Christian T. Petersen,2005
-,12333,Twilight Struggle,-,-,-,-,2,2,2,2,120,180,3.6147,0,-,-,8.04135,14,46.13,,GMT Games,Viktor Csete,Strategy Games Wargames,Components: Map (Global Scale) Components: Multi-Use Cards Continents: Asia Country: Soviet Union Country: USA Digital Implementations: Apple App Store Digital Implementations: Google Play Digital Implementations: Steam Game: Twilight Struggle History: Cold War Misc: BGG Hall of Fame Misc: Dice Tower Hall of Fame Players: Two-Player Only Games Players: Wargames with Rules Supporting Only Two Players Political: NATO Region: The World Series: Twilight Struggle Theme: Nuclear option War Level of Command: Grand Strategy,14.29,012333.jpg,Action / Event Advantage Token Area Majority / Influence Campaign / Battle Card Driven Dice Rolling Events Hand Management Simulation Simultaneous Action Selection Stat Check Resolution Sudden Death Ending Tug of War Variable Player Powers Variable Set-up,Modern Warfare Political Wargame,Ananda Gupta,2005
-,189932,Tyrants of the Underdark,-,-,-,-,2,4,"2, 3, 4",4,60,60,2.5429,0,-,-,7.41835,164,47.02,,Gale Force Nine LLC,Rob Alexander,Strategy Games,Components: Miniatures Game: Tyrants of the Underdark Setting: Dungeons & Dragons Theme: Villainy,12.21,189932.jpg,"Area Majority / Influence Connections Deck, Bag, and Pool Building Delayed Purchase Open Drafting Take That Variable Set-up Zone of Control",Fantasy Fighting,Peter Lee,2016
33321883,126163,Tzolk'in: The Mayan Calendar,-,-,-,"Own,Wanttoplay",2,4,"2, 3, 4",4,90,90,3.6646,0,-,9,7.68283,73,37.77,瑪雅曆法|卓爾金歷|卓爾金曆:馬雅曆法|卓爾金歷：瑪雅日曆,Czech Games Edition (CGE),Milan Vavroň,Strategy Games,Components: Calendars Components: Gears Country: Guatemala Country: Mexico Digital Implementations: Board Game Arena Digital Implementations: Boiteajeux Game: Tzolk'in - The Mayan Calendar Players: Games with expansions that change player count Series: T games (Daniele Tascini) Theme: Mayans Theme: Native Americans / First Peoples Theme: Tropical,12.53,126163.jpg,Bias End Game Bonuses Once-Per-Game Abilities Track Movement Turn Order: Claim Action Worker Placement,Ancient Civilization Economic Farming Mythology,Simone Luciani,2012
78762973,329591,Ultimate Railroads,-,-,-,Wanttoplay,1,4,"1,2,3,4",-,90,120,3.27,0,-,8.7,8.4,0,63.12,終極鐵路,,,,,,,,,,
-,329500,Unconscious Mind,-,-,-,-,1,4,"1, 2, 3","2, 3",60,120,4.021,0,-,-,7.19022,310,113.33,,Fantasia Games,Andrew Bosley,Strategy Games,Cities: Vienna (Austria) Components: Transparent Elements Crowdfunding: Kickstarter Digital Implementations: TableTop Simulator Mod (TTS) Digital Implementations: Tabletopia Game: Unconscious Mind Mechanism: Tableau Building Misc: Made by Panda Theme: Dreams / Nightmares Theme: Psychology,14.24,329500.jpg,Contracts End Game Bonuses Layering Melding and Splaying Open Drafting Programmed Movement Rondel Set Collection Solo / Solitaire Game Tags Variable Set-up Worker Placement,Medical Post-Napoleonic,Laskas,2024
-,268864,Undaunted: Normandy,-,-,-,-,2,2,2,2,45,60,2.2661,0,-,-,7.39077,181,25.26,,Osprey Games,Roland MacDonald,Wargames,Country: France Country: USA Crowdfunding: Spieleschmiede Digital Implementations: Steam Misc: Watch It Played How To Videos Players: Games with expansions that add solo play Players: Two-Player Only Games Players: Wargames with Rules Supporting Only Two Players Region: Normandy (France) Series: Undaunted (Osprey Games),11.2,268864.jpg,"Deck, Bag, and Pool Building Dice Rolling Hand Management Modular Board Open Drafting Scenario / Mission / Campaign Game Simulation",Wargame World War II,Trevor Benjamin,2019
-,306735,Under Falling Skies,-,-,-,-,1,1,1,1,20,40,2.3937,0,-,-,7.25226,265,19.99,,Czech Games Edition (CGE),Petr Boháček,Strategy Games,Components: Coloured Dice Creatures: Aliens / Extraterrestrials Players: Games with Solitaire Rules Players: Solitaire Only Games,10.53,306735.jpg,Dice Rolling Modular Board Once-Per-Game Abilities Re-rolling and Locking Scenario / Mission / Campaign Game Solo / Solitaire Game Square Grid Sudden Death Ending Variable Set-up Worker Placement Worker Placement with Dice Workers,Dice Science Fiction,Tomáš Uhlíř,2020
